Order Reference,Vendor,Order Deadline,Expected Arrival,Vendor Reference,Order Lines/Products,Order Lines/Quantity,Order Lines/Unit Price,Order Lines/Taxes,Payment Terms
PO2025-0001,Supplier 4,2025-11-16,2025-11-20,VREF-9693,P0011,20,38.34,TVA 20%,15 Days
PO2025-0001,Supplier 4,2025-11-16,2025-11-20,VREF-9693,PROD009,6,188.27,TVA 20%,15 Days
PO2025-0001,Supplier 4,2025-11-16,2025-11-20,VREF-9693,PROD049,3,211.39,TVA 20%,15 Days
PO2025-0001,Supplier 4,2025-11-16,2025-11-20,VREF-9693,PROD021,37,154.07,TVA 20%,15 Days
PO2025-0002,Supplier 13,2025-10-09,2025-10-17,VREF-3614,PROD006,17,392.59,TVA 20%,Immediate Payment
PO2025-0002,Supplier 13,2025-10-09,2025-10-17,VREF-3614,PROD009,47,73.69,TVA 20%,Immediate Payment
PO2025-0002,Supplier 13,2025-10-09,2025-10-17,VREF-3614,P0022,28,23.2,TVA 20%,Immediate Payment
PO2025-0003,Supplier 7,2025-11-16,2025-11-24,VREF-8341,PROD007,49,343.73,TVA 20%,Immediate Payment
PO2025-0003,Supplier 7,2025-11-16,2025-11-24,VREF-8341,P0028,13,105.69,TVA 20%,Immediate Payment
PO2025-0004,Supplier 14,2025-11-17,2025-11-25,VREF-3931,PROD029,41,388.23,TVA 20%,15 Days
PO2025-0004,Supplier 14,2025-11-17,2025-11-25,VREF-3931,PROD018,25,411.67,TVA 20%,15 Days
PO2025-0004,Supplier 14,2025-11-17,2025-11-25,VREF-3931,PROD006,22,335.19,TVA 20%,15 Days
PO2025-0004,Supplier 14,2025-11-17,2025-11-25,VREF-3931,PROD041,13,244.26,TVA 20%,15 Days
PO2025-0005,Supplier 14,2025-10-13,2025-10-19,VREF-3827,P0012,27,272.36,TVA 20%,End of Month
PO2025-0005,Supplier 14,2025-10-13,2025-10-19,VREF-3827,PROD031,49,413.73,TVA 20%,End of Month
PO2025-0006,Supplier 30,2025-11-03,2025-11-09,VREF-9458,P0003,41,123.6,TVA 20%,30 Days
PO2025-0006,Supplier 30,2025-11-03,2025-11-09,VREF-9458,P0023,29,175.4,TVA 20%,30 Days
PO2025-0006,Supplier 30,2025-11-03,2025-11-09,VREF-9458,P0027,16,478.83,TVA 20%,30 Days
PO2025-0006,Supplier 30,2025-11-03,2025-11-09,VREF-9458,PROD049,22,358.63,TVA 20%,30 Days
PO2025-0007,Supplier 16,2025-10-10,2025-10-19,VREF-3179,PROD017,39,178.76,TVA 20%,Immediate Payment
PO2025-0007,Supplier 16,2025-10-10,2025-10-19,VREF-3179,PROD005,13,426.35,TVA 20%,Immediate Payment
PO2025-0007,Supplier 16,2025-10-10,2025-10-19,VREF-3179,PROD012,13,442.38,TVA 20%,Immediate Payment
PO2025-0007,Supplier 16,2025-10-10,2025-10-19,VREF-3179,PROD049,43,86.48,TVA 20%,Immediate Payment
PO2025-0008,Supplier 32,2025-09-13,2025-09-23,VREF-7363,PROD046,29,288.3,TVA 20%,Immediate Payment
PO2025-0009,Supplier 2,2025-09-23,2025-09-28,VREF-3585,P0028,4,344.98,TVA 20%,Immediate Payment
PO2025-0010,Supplier 4,2025-11-20,2025-11-24,VREF-8734,PROD005,4,228.45,TVA 20%,15 Days
PO2025-0010,Supplier 4,2025-11-20,2025-11-24,VREF-8734,PROD048,44,111.13,TVA 20%,15 Days
PO2025-0011,Supplier 14,2025-09-22,2025-09-28,VREF-4111,P0012,9,34.73,TVA 20%,Immediate Payment
PO2025-0012,Supplier 4,2025-09-19,2025-09-25,VREF-2569,PROD050,8,390.27,TVA 20%,Immediate Payment
PO2025-0012,Supplier 4,2025-09-19,2025-09-25,VREF-2569,PROD015,19,130.12,TVA 20%,Immediate Payment
PO2025-0012,Supplier 4,2025-09-19,2025-09-25,VREF-2569,P0024,33,445.14,TVA 20%,Immediate Payment
PO2025-0013,Supplier 11,2025-12-02,2025-12-05,VREF-4446,PROD049,39,274.5,TVA 20%,15 Days
PO2025-0013,Supplier 11,2025-12-02,2025-12-05,VREF-4446,PROD023,34,360.41,TVA 20%,15 Days
PO2025-0013,Supplier 11,2025-12-02,2025-12-05,VREF-4446,P0011,37,181.63,TVA 20%,15 Days
PO2025-0013,Supplier 11,2025-12-02,2025-12-05,VREF-4446,PROD001,45,46.27,TVA 20%,15 Days
PO2025-0014,Supplier 19,2025-11-21,2025-11-27,VREF-6316,PROD011,12,171.0,TVA 20%,30 Days
PO2025-0015,Supplier 24,2025-09-26,2025-10-05,VREF-7810,P0025,23,463.64,TVA 20%,Immediate Payment
PO2025-0015,Supplier 24,2025-09-26,2025-10-05,VREF-7810,PROD050,25,105.37,TVA 20%,Immediate Payment
PO2025-0016,Supplier 1,2025-10-11,2025-10-15,VREF-7578,PROD029,42,59.56,TVA 20%,30 Days
PO2025-0017,Supplier 26,2025-10-30,2025-11-04,VREF-8634,PROD023,6,208.99,TVA 20%,15 Days
PO2025-0017,Supplier 26,2025-10-30,2025-11-04,VREF-8634,P0004,13,314.13,TVA 20%,15 Days
PO2025-0017,Supplier 26,2025-10-30,2025-11-04,VREF-8634,P0022,21,159.18,TVA 20%,15 Days
PO2025-0018,Supplier 2,2025-09-07,2025-09-13,VREF-9268,PROD031,22,153.98,TVA 20%,30 Days
PO2025-0018,Supplier 2,2025-09-07,2025-09-13,VREF-9268,PROD041,3,322.58,TVA 20%,30 Days
PO2025-0018,Supplier 2,2025-09-07,2025-09-13,VREF-9268,PROD008,50,267.28,TVA 20%,30 Days
PO2025-0019,Supplier 30,2025-09-05,2025-09-12,VREF-9564,PROD035,7,373.53,TVA 20%,End of Month
PO2025-0020,Supplier 28,2025-10-08,2025-10-10,VREF-6937,PROD038,3,181.06,TVA 20%,End of Month
PO2025-0020,Supplier 28,2025-10-08,2025-10-10,VREF-6937,PROD037,37,385.79,TVA 20%,End of Month
PO2025-0020,Supplier 28,2025-10-08,2025-10-10,VREF-6937,PROD048,46,394.49,TVA 20%,End of Month
PO2025-0020,Supplier 28,2025-10-08,2025-10-10,VREF-6937,P0005,27,89.55,TVA 20%,End of Month
PO2025-0021,Supplier 4,2025-11-11,2025-11-21,VREF-2025,PROD027,28,426.05,TVA 20%,30 Days
PO2025-0021,Supplier 4,2025-11-11,2025-11-21,VREF-2025,PROD023,12,247.87,TVA 20%,30 Days
PO2025-0021,Supplier 4,2025-11-11,2025-11-21,VREF-2025,PROD031,29,445.72,TVA 20%,30 Days
PO2025-0021,Supplier 4,2025-11-11,2025-11-21,VREF-2025,P0009,24,480.85,TVA 20%,30 Days
PO2025-0022,Supplier 18,2025-11-09,2025-11-12,VREF-9007,P0017,43,80.47,TVA 20%,30 Days
PO2025-0022,Supplier 18,2025-11-09,2025-11-12,VREF-9007,PROD018,1,286.47,TVA 20%,30 Days
PO2025-0022,Supplier 18,2025-11-09,2025-11-12,VREF-9007,PROD003,32,234.03,TVA 20%,30 Days
PO2025-0022,Supplier 18,2025-11-09,2025-11-12,VREF-9007,PROD006,47,477.88,TVA 20%,30 Days
PO2025-0023,Supplier 1,2025-12-02,2025-12-04,VREF-1213,PROD017,48,408.82,TVA 20%,Immediate Payment
PO2025-0023,Supplier 1,2025-12-02,2025-12-04,VREF-1213,PROD033,16,168.93,TVA 20%,Immediate Payment
PO2025-0024,Supplier 26,2025-12-08,2025-12-17,VREF-1935,PROD012,23,448.53,TVA 20%,30 Days
PO2025-0024,Supplier 26,2025-12-08,2025-12-17,VREF-1935,PROD044,30,165.08,TVA 20%,30 Days
PO2025-0024,Supplier 26,2025-12-08,2025-12-17,VREF-1935,P0026,2,394.23,TVA 20%,30 Days
PO2025-0024,Supplier 26,2025-12-08,2025-12-17,VREF-1935,PROD014,18,97.88,TVA 20%,30 Days
PO2025-0025,Supplier 2,2025-12-05,2025-12-08,VREF-9269,PROD022,41,253.01,TVA 20%,15 Days
PO2025-0025,Supplier 2,2025-12-05,2025-12-08,VREF-9269,PROD018,42,313.9,TVA 20%,15 Days
PO2025-0026,Supplier 27,2025-11-01,2025-11-04,VREF-2746,PROD036,20,467.24,TVA 20%,Immediate Payment
PO2025-0026,Supplier 27,2025-11-01,2025-11-04,VREF-2746,PROD012,27,336.39,TVA 20%,Immediate Payment
PO2025-0026,Supplier 27,2025-11-01,2025-11-04,VREF-2746,P0010,23,70.2,TVA 20%,Immediate Payment
PO2025-0027,Supplier 13,2025-09-06,2025-09-15,VREF-6869,PROD028,21,338.24,TVA 20%,30 Days
PO2025-0028,Supplier 22,2025-11-12,2025-11-17,VREF-7108,PROD037,1,415.31,TVA 20%,Immediate Payment
PO2025-0029,Supplier 15,2025-09-21,2025-09-26,VREF-5846,PROD044,50,36.32,TVA 20%,15 Days
PO2025-0029,Supplier 15,2025-09-21,2025-09-26,VREF-5846,PROD029,40,294.86,TVA 20%,15 Days
PO2025-0029,Supplier 15,2025-09-21,2025-09-26,VREF-5846,P0007,18,180.81,TVA 20%,15 Days
PO2025-0030,Supplier 23,2025-11-11,2025-11-16,VREF-9692,PROD015,6,38.16,TVA 20%,15 Days
PO2025-0030,Supplier 23,2025-11-11,2025-11-16,VREF-9692,PROD022,12,75.83,TVA 20%,15 Days
PO2025-0031,Supplier 6,2025-10-05,2025-10-15,VREF-4362,P0016,43,51.27,TVA 20%,End of Month
PO2025-0031,Supplier 6,2025-10-05,2025-10-15,VREF-4362,P0016,22,230.17,TVA 20%,End of Month
PO2025-0032,Supplier 19,2025-09-22,2025-09-30,VREF-7281,P0005,6,488.78,TVA 20%,End of Month
PO2025-0033,Supplier 24,2025-09-07,2025-09-09,VREF-4810,P0022,26,16.83,TVA 20%,30 Days
PO2025-0034,Supplier 29,2025-10-09,2025-10-15,VREF-7685,P0001,19,267.26,TVA 20%,30 Days
PO2025-0035,Supplier 9,2025-11-10,2025-11-12,VREF-4387,PROD021,21,121.32,TVA 20%,15 Days
PO2025-0035,Supplier 9,2025-11-10,2025-11-12,VREF-4387,P0022,17,191.94,TVA 20%,15 Days
PO2025-0036,Supplier 25,2025-11-10,2025-11-14,VREF-2754,PROD034,34,162.34,TVA 20%,30 Days
PO2025-0036,Supplier 25,2025-11-10,2025-11-14,VREF-2754,PROD047,39,98.18,TVA 20%,30 Days
PO2025-0036,Supplier 25,2025-11-10,2025-11-14,VREF-2754,P0008,50,269.14,TVA 20%,30 Days
PO2025-0037,Supplier 13,2025-10-17,2025-10-25,VREF-6042,PROD033,23,332.67,TVA 20%,30 Days
PO2025-0037,Supplier 13,2025-10-17,2025-10-25,VREF-6042,P0009,33,494.22,TVA 20%,30 Days
PO2025-0038,Supplier 19,2025-09-23,2025-09-26,VREF-7961,PROD037,7,95.72,TVA 20%,30 Days
PO2025-0038,Supplier 19,2025-09-23,2025-09-26,VREF-7961,P0022,4,496.41,TVA 20%,30 Days
PO2025-0038,Supplier 19,2025-09-23,2025-09-26,VREF-7961,PROD007,15,81.73,TVA 20%,30 Days
PO2025-0038,Supplier 19,2025-09-23,2025-09-26,VREF-7961,P0020,28,78.54,TVA 20%,30 Days
PO2025-0039,Supplier 15,2025-11-27,2025-11-29,VREF-9683,PROD030,28,231.0,TVA 20%,30 Days
PO2025-0039,Supplier 15,2025-11-27,2025-11-29,VREF-9683,P0002,48,179.36,TVA 20%,30 Days
PO2025-0040,Supplier 12,2025-09-07,2025-09-14,VREF-3292,PROD032,24,319.36,TVA 20%,30 Days
PO2025-0040,Supplier 12,2025-09-07,2025-09-14,VREF-3292,P0022,21,419.34,TVA 20%,30 Days
PO2025-0041,Supplier 11,2025-12-03,2025-12-10,VREF-4908,P0027,21,56.29,TVA 20%,30 Days
PO2025-0042,Supplier 30,2025-10-24,2025-10-26,VREF-4081,PROD045,32,121.74,TVA 20%,30 Days
PO2025-0042,Supplier 30,2025-10-24,2025-10-26,VREF-4081,PROD017,6,434.4,TVA 20%,30 Days
PO2025-0042,Supplier 30,2025-10-24,2025-10-26,VREF-4081,P0007,48,20.08,TVA 20%,30 Days
PO2025-0043,Supplier 26,2025-12-09,2025-12-16,VREF-2717,PROD014,26,354.13,TVA 20%,End of Month
PO2025-0043,Supplier 26,2025-12-09,2025-12-16,VREF-2717,PROD050,1,232.06,TVA 20%,End of Month
PO2025-0043,Supplier 26,2025-12-09,2025-12-16,VREF-2717,P0002,33,144.95,TVA 20%,End of Month
PO2025-0043,Supplier 26,2025-12-09,2025-12-16,VREF-2717,PROD019,24,11.24,TVA 20%,End of Month
PO2025-0044,Supplier 6,2025-11-13,2025-11-23,VREF-2427,PROD039,17,28.24,TVA 20%,15 Days
PO2025-0044,Supplier 6,2025-11-13,2025-11-23,VREF-2427,P0017,48,59.57,TVA 20%,15 Days
PO2025-0044,Supplier 6,2025-11-13,2025-11-23,VREF-2427,PROD008,7,263.36,TVA 20%,15 Days
PO2025-0044,Supplier 6,2025-11-13,2025-11-23,VREF-2427,PROD030,20,16.33,TVA 20%,15 Days
